record_type,representation,repeat,outer_fold,draw,partition,assignment_type,recipient_id,donor_id,self_match,one_to_one,standardized_euclidean_distance,abs_standardized_pair_difference__interviewer_word_count,abs_standardized_pair_difference__interviewer_turn_count,abs_standardized_pair_difference__clinical_question_count,abs_standardized_pair_difference__clinical_prompt_coverage_count,abs_standardized_pair_difference__non_explicit_interviewer_turn_count,abs_standardized_pair_difference__d_p_domain_breadth,abs_standardized_pair_difference__d_p_total_evidence_count
pairwise,tfidf,1,3,3,outer_test,random_mismatch,425,305,False,True,4.458475222547799,0.35729234206812116,2.7143521671239945,0.5028079891392175,1.0583265838807767,2.810592087238518,1.1685088368814935,1.3209557109882621
pairwise,tfidf,1,3,3,outer_test,random_mismatch,430,307,False,True,4.379924989841405,1.516313841947636,0.8482350522262483,2.5140399456960876,2.645816459701942,1.1959966328674545,1.1685088368814935,0.22015928516471037
pairwise,tfidf,1,3,3,outer_test,random_mismatch,436,395,False,True,2.08909959911818,0.1394311578802424,0.16964701044524966,0.0,0.0,0.17939949493011817,1.7527632553222403,1.1007964258235519
pairwise,tfidf,1,3,3,outer_test,random_mismatch,439,352,False,True,2.5322245631006886,1.4117404735374544,1.017882062671498,0.5028079891392175,0.5291632919403884,1.1361968012240817,1.1685088368814935,0.44031857032942073
pairwise,tfidf,1,3,3,outer_test,random_mismatch,446,474,False,True,2.3217964721148694,1.159021499879515,1.2440780765984976,0.5028079891392175,0.5291632919403884,1.255796464510827,0.5842544184407468,0.22015928516471037
pairwise,tfidf,1,3,3,outer_test,random_mismatch,447,320,False,True,6.299414962128711,0.8017291578113938,2.997097184532744,3.5196559239745224,2.645816459701942,2.750792255595145,0.0,1.761274281317683
pairwise,tfidf,1,3,3,outer_test,random_mismatch,459,436,False,True,4.450618039388704,1.098020368306909,0.6785880417809986,2.01123195655687,2.1166531677615534,0.47839865314698177,2.337017673762987,1.9814335664823934
pairwise,tfidf,1,3,3,outer_test,random_mismatch,474,356,False,True,3.3468586595259446,1.681888341930424,0.05654900348174989,0.5028079891392175,0.5291632919403884,0.0,2.337017673762987,1.5411149961529726
pairwise,tfidf,1,3,3,outer_test,random_mismatch,475,383,False,True,1.312572999371351,0.0697155789401212,0.8482350522262483,0.0,0.0,0.8969974746505908,0.0,0.44031857032942073
pairwise,tfidf,1,3,3,outer_test,random_mismatch,489,317,False,True,2.8578912459506762,1.2461659735546664,0.05654900348174989,1.5084239674176525,1.587489875821165,0.11959966328674544,1.1685088368814935,0.6604778554941311
pairwise,tfidf,1,3,3,outer_test,random_mismatch,491,447,False,True,2.7462942284421294,0.8278724999139392,0.9613330591897481,1.5084239674176525,1.587489875821165,0.8371976430072181,0.0,0.6604778554941311
pairwise,tfidf,1,3,4,outer_test,random_mismatch,305,447,False,True,4.766363210279931,0.174288947350303,2.7709011706057445,2.01123195655687,0.5291632919403884,2.6909924239517724,0.5842544184407468,1.761274281317683
pairwise,tfidf,1,3,4,outer_test,random_mismatch,307,474,False,True,1.8114924262855059,1.6731738945629089,0.4523920278539991,0.0,0.0,0.47839865314698177,0.0,0.22015928516471037
pairwise,tfidf,1,3,4,outer_test,random_mismatch,313,383,False,True,1.6679881713615048,0.7668713683413332,0.0,1.005615978278435,1.0583265838807767,0.11959966328674544,0.0,0.22015928516471037
pairwise,tfidf,1,3,4,outer_test,random_mismatch,315,459,False,True,3.505311882441448,1.7864617103406057,0.11309800696349978,1.5084239674176525,1.587489875821165,0.05979983164337272,1.7527632553222403,1.1007964258235519
